date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:43	21049/21049	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/team/team-2.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/team/team-2.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:44	301471/301471	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/how_it_work.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/how_it_work.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:44	22196/22196	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/team/team-3.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/team/team-3.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:44	21638/21638	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/team/team-4.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/team/team-4.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:45	34020/34020	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/1.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/1.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:55	45865/45865	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/2.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/2.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:55	46306/46306	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/3.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/3.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:56	42696/42696	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/4.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/4.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:56	46193/46193	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/5.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/5.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:57	43848/43848	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/6.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/6.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:58	45153/45153	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/7.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/screenshot/7.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:59	236794/236794	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/bg/pricing-bg.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/bg/pricing-bg.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:59	122321/122321	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/1.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/1.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:00	20027/20027	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/2.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/2.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:01	136967/136967	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/3.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/3.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:01	17642/17642	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/4.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/testimonial/4.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:02	9657/9657	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/apple.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/apple.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:03	9432/9432	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/android.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/android.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:07	74408/74408	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2003:10:59%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/client/client1.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/client/client1.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:11	74408/74408	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2003:11:04%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/client/client2.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/client/client2.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:14	74408/74408	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2003:11:07%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/client/client3.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/client/client3.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:15	3845/3845	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/client/client4.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/client/client4.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:18	74408/74408	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2003:11:12%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/client/client5.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/client/client5.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:19	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226679df53-4d7%22	https://bestwpware.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:22	97163/97163	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/jquery-1.12.4.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/jquery-1.12.4.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:22	36868/36868	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/js/bootstrap.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/js/bootstrap.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:24	15514/15514	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/modernizr-2.8.3.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/modernizr-2.8.3.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:26	12597/12597	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/jquery.stellar.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/jquery.stellar.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:27	23890/23890	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/js/owl.carousel.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/js/owl.carousel.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:28	3815/3815	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/scrolltopcontrol.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/scrolltopcontrol.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:28	1547/1547	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/form-contact.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/form-contact.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:29	20231/20231	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/jquery.magnific-popup.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/jquery.magnific-popup.min.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:30	2486/2486	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/scripts.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/scripts.js	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:40:31	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css)
08:40:32	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css)
08:40:34	18028/18028	---M--	200	added ('OK')	font/woff2	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css)
08:40:35	23424/23424	---M--	200	added ('OK')	font/woff	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css)
08:40:36	45404/45404	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css)
08:40:37	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css)
08:40:38	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont.eot?v=4.5.0	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont3295.eot	(from https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css)
08:40:42	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont.eot?	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfontd41d.eot	(from https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css)
08:40:44	66624/66624	---M--	200	added ('OK')	font/woff2	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont3295.woff2	(from https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css)
08:40:46	83588/83588	---M--	200	added ('OK')	font/woff	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont.woff?v=4.5.0	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont3295.woff	(from https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css)
08:40:46	142072/142072	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont3295.ttf	(from https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css)
08:40:48	365616/365616	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont.svg?v=4.5.0	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/fontawesome-webfont3295.svg	(from https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css)
08:40:50	74414/74414	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2003:11:44%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/grabbing.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/grabbing.png	(from https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/owl.carousel.css)
08:40:54	74416/74416	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2003:11:47%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/AjaxLoader.gif	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/AjaxLoader.gif	(from https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/owl.theme.css)
08:40:56	311154/311154	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/bg/ripple-bg.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/bg/ripple-bg.jpg	(from https://bestwpware.com/html/tf/laxm-demo/index_ripple.html)
08:40:58	14627/14627	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/ripples-min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/ripples-min.js	(from https://bestwpware.com/html/tf/laxm-demo/index_ripple.html)
08:40:59	229673/229673	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/bg/particle-bg.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/bg/particle-bg.jpg	(from https://bestwpware.com/html/tf/laxm-demo/index_particle.html)
08:40:59	23391/23391	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/js/particles.min.js	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/js/particles.min.js	(from https://bestwpware.com/html/tf/laxm-demo/index_particle.html)
